"Year","Month","BusinessApplications","ConstructionSpending","DurableGoodsNewOrders","InternationalTrade_Exports","InternationalTrade_Imports","ManuInventories","ManuNewOrders","NewHomesForSale","NewHomesSold","ResConstPermits","ResConstUnitsCompleted","ResConstUnitsStarted","RetailInventories","SalesForRetailAndFood","WholesaleInventories"
2004,7,159396,1006184,186835,96907,148513,426260,356710,400,1088,2112,1881,2002,454032,318549,326753
2004,8,192188,1013616,183728,97295,150942,429820,355629,405,1175,2056,1911,2024,457271,318977,330102
2004,9,191225,1012080,188444,98782,150468,430989,361042,410,1214,2041,1796,1905,456162,324569,330046
2004,10,191102,1015719,185187,100494,155552,434813,364476,413,1305,2097,1839,2072,455096,326740,335173
2004,11,211318,1022994,192545,100090,159057,439997,373177,418,1179,2079,1758,1782,459431,327836,339330
2004,12,193328,1037480,193578,102781,157699,441222,373419,422,1242,2082,1921,2042,460394,331874,340128
2005,1,201725,1046082,194875,103206,159395,446240,378937,441,1203,2139,1892,2144,461016,328696,345246
2005,2,204234,1066848,196475,104010,162104,451361,381880,446,1319,2114,1908,2207,462872,333026,347068
2005,3,201630,1071745,186608,105098,158231,455394,374642,445,1328,2062,1787,1864,464979,333581,348774
2005,4,204096,1081012,194847,107268,164580,456990,385450,445,1260,2150,1927,2061,465861,336583,351996
2005,5,203523,1093341,206623,107079,163120,457623,395916,450,1286,2085,2103,2025,465988,334522,352838
2005,6,210096,1105896,210020,107033,165185,458507,400506,455,1274,2178,1965,2068,463147,343998,354277
2005,7,207999,1119101,194475,107082,165383,461924,386590,464,1389,2203,1886,2054,452724,346576,355552
2005,8,204797,1129163,204839,108475,167220,461964,401287,476,1255,2219,1952,2095,455534,343307,357368
2005,9,184551,1148438,203997,107156,172039,463598,404154,487,1244,2263,1922,2151,460270,343956,358769
2005,10,230658,1160831,209901,109813,177078,467552,409487,490,1336,2170,1962,2065,461942,344097,361845
2005,11,222505,1172090,220733,111462,175321,470206,421486,502,1214,2218,1907,2147,467074,347325,363476
2005,12,233703,1184677,221499,113822,178391,474639,422981,511,1239,2120,1941,1994,471700,347405,367822
2006,1,216481,1195642,209540,115831,182797,479543,415824,523,1174,2212,2036,2273,474302,357331,369450
2006,2,225673,1205639,219738,116871,179180,481048,421074,539,1061,2141,2048,2119,473254,354706,372985
2006,3,222474,1205169,227188,118821,181217,486076,430457,552,1116,2118,2245,1969,479481,355665,374722
2006,4,223297,1193296,214625,119611,182213,491322,418625,565,1123,1998,2071,1821,477862,357423,379226
2006,5,222048,1180581,215819,121155,185973,496672,423472,565,1086,1905,1897,1942,484518,356704,382161
2006,6,218254,1172128,221220,122726,186526,501897,427440,566,1074,1867,2050,1802,488787,357879,385111
2006,7,220254,1157926,209494,120430,187339,506637,416849,572,965,1763,1934,1737,485766,359006,388619
2006,8,218935,1145907,210473,122780,191057,511525,418759,566,1035,1722,1877,1650,487446,360691,392217
2006,9,212057,1135753,234701,124052,189146,516251,435776,559,1016,1655,2011,1720,485983,358961,394224
2006,10,206805,1122914,216952,125532,185072,519748,415798,554,941,1570,1918,1491,485583,358462,396412
2006,11,202263,1121749,224809,127388,186327,522206,426451,543,1003,1535,1893,1570,484834,359266,400298
2006,12,247115,1135406,229243,128795,190677,523476,437894,536,998,1638,1888,1649,486412,363730,398792
2007,1,206985,1137917,222969,130648,188661,524494,427905,538,891,1626,1822,1409,488010,363616,400079
2007,2,217706,1139032,220962,129481,187960,527703,430410,544,828,1598,1640,1480,489691,364006,401751
2007,3,216090,1146624,229526,133835,196018,529461,442158,545,833,1596,1623,1495,487268,367158,404080
2007,4,214518,1150590,233420,133351,193845,533451,446596,548,887,1470,1539,1490,489640,366187,405510
2007,5,220719,1161581,228836,135835,195406,538547,445891,545,842,1493,1536,1415,492929,370934,406748
2007,6,221767,1163511,228868,137312,197310,540804,446539,542,793,1407,1481,1448,496146,368154,408205
